,Antennas-1,Power-1 (dBm)
0,Legacy_27,[[[-37.594593]]]
1,Legacy_63,[[[-39.59459]]]
2,Legacy_11,[[[-40.338593]]]
3,Legacy_31,[[[-41.094593]]]
4,Legacy_10,[[[-41.59459]]]
5,Legacy_03,[[[-42.594597]]]
6,Legacy_05,[[[-42.594597]]]
7,Legacy_14,[[[-42.594597]]]
8,Legacy_16,[[[-43.094593]]]
9,Legacy_22,[[[-43.594593]]]
10,Legacy_04,[[[-44.09459]]]
11,Legacy_29,[[[-45.09459]]]
12,Legacy_61,[[[-45.34459]]]
13,Legacy_07,[[[-47.094593]]]
14,Legacy_18,[[[-47.094593]]]
15,Legacy_26,[[[-47.094593]]]
16,Legacy_28,[[[-47.094593]]]
17,Legacy_23,[[[-47.344593]]]
18,Legacy_06,[[[-47.59459]]]
19,Legacy_24,[[[-48.344593]]]
20,Legacy_12,[[[-52.094593]]]
21,Legacy_09,[[[-52.594597]]]
22,Legacy_17,[[[-54.594593]]]
23,Legacy_13,[[[-56.844593]]]
24,Legacy_20,[[[-57.59459]]]
25,Legacy_19,[[[-58.594593]]]
26,Legacy_62,[[[-58.594593]]]
27,Legacy_30,[[[-58.844597]]]
28,Legacy_02,[[[-59.344593]]]
29,Legacy_15,[[[-59.844593]]]
30,Legacy_08,[[[-60.094597]]]
31,Legacy_25,[[[-62.094593]]]
32,Legacy_01,[[[-62.594597]]]
33,Legacy_21,[[[-62.84459]]]
