,Antennas-1,Power-1 (dBm)
0,Legacy_16,-55.301723
1,Legacy_17,-56.03784
2,Legacy_26,-57.814754
3,Legacy_10,-58.345867
4,Legacy_62,-59.131054
5,Legacy_04,-60.368576
6,Legacy_21,-60.448463
7,Legacy_06,-60.837723
8,Legacy_30,-61.555458
9,Legacy_09,-61.556095
10,Legacy_15,-61.61399
11,Legacy_13,-62.675735
12,Legacy_12,-62.697826
13,Legacy_20,-62.80883
14,Legacy_02,-62.814754
15,Legacy_28,-63.20915
16,Legacy_08,-63.81179
17,Legacy_31,-64.13201
18,Legacy_61,-64.20602
19,Legacy_01,-64.22803
20,Legacy_27,-64.22923
21,Legacy_03,-64.619255
22,Legacy_25,-65.209145
23,Legacy_22,-67.72845
24,Legacy_05,-68.02592
25,Legacy_07,-68.57039
26,Legacy_23,-68.775925
27,Legacy_14,-70.39236
28,Legacy_11,-71.51961
29,Legacy_19,-72.11064
30,Legacy_18,-74.1881
31,Legacy_29,-75.552795
32,Legacy_24,-79.747894
33,Legacy_63,-81.62108
