,Antenna,Max Propogated Power(dBm)
0,Legacy_63,-60.101944
1,Legacy_05,-62.77864
2,Legacy_29,-66.15868
3,Legacy_16,-69.31119
4,Legacy_61,-72.78055
5,Legacy_18,-73.93276
6,Legacy_24,-74.09385
7,Legacy_04,-75.13463
8,Legacy_07,-75.62221
9,Legacy_23,-76.05175
10,Legacy_08,-76.86384
11,Legacy_06,-77.84505
12,Legacy_13,-78.063065
13,Legacy_19,-78.339294
14,Legacy_26,-78.4193
15,Legacy_17,-78.688484
16,Legacy_62,-79.526505
17,Legacy_09,-80.15169
18,Legacy_30,-80.27031
19,Legacy_10,-80.46556
20,Legacy_15,-81.174385
21,Legacy_21,-81.44675
22,Legacy_14,-81.55965
23,Legacy_28,-82.49774
24,Legacy_20,-82.575294
25,Legacy_27,-83.11102
26,Legacy_01,-83.42908
27,Legacy_02,-83.672676
28,Legacy_03,-84.19301
29,Legacy_31,-84.309555
30,Legacy_25,-85.251755
31,Legacy_22,-88.08837
32,Legacy_12,-88.3947
33,Legacy_11,-88.76244
