Phi,Theta,Gain
0.000000000000000000e+00,-9.000000000000000000e+01,3.250000000000000000e+00
0.000000000000000000e+00,-8.820000000000000284e+01,2.507499999999998952e+00
0.000000000000000000e+00,-8.640000000000000568e+01,3.479999999999994209e+00
0.000000000000000000e+00,-8.459999999999999432e+01,5.015625000000007105e+00
0.000000000000000000e+00,-8.279999999999999716e+01,6.562500000000009770e+00
0.000000000000000000e+00,-8.100000000000000000e+01,8.168749999999999289e+00
0.000000000000000000e+00,-7.920000000000000284e+01,8.954999999999998295e+00
0.000000000000000000e+00,-7.740000000000000568e+01,8.302500000000007319e+00
0.000000000000000000e+00,-7.559999999999999432e+01,8.250000000000000000e+00
0.000000000000000000e+00,-7.379999999999999716e+01,8.250000000000000000e+00
0.000000000000000000e+00,-7.200000000000000000e+01,8.024999999999998579e+00
0.000000000000000000e+00,-7.020000000000000284e+01,6.887499999999996625e+00
0.000000000000000000e+00,-6.840000000000000568e+01,5.650000000000000355e+00
0.000000000000000000e+00,-6.659999999999999432e+01,-3.725000000000112665e-01
0.000000000000000000e+00,-6.479999999999999716e+01,8.999999999999965805e-01
0.000000000000000000e+00,-6.300000000000000000e+01,3.374999999999989786e+00
0.000000000000000000e+00,-6.120000000000000284e+01,6.689999999999984404e+00
0.000000000000000000e+00,-5.939999999999999858e+01,1.015500000000000469e+01
0.000000000000000000e+00,-5.760000000000000142e+01,1.156999999999999851e+01
0.000000000000000000e+00,-5.579999999999999716e+01,1.235749999999999993e+01
0.000000000000000000e+00,-5.400000000000000000e+01,1.309999999999999787e+01
0.000000000000000000e+00,-5.219999999999999574e+01,1.317099999999999937e+01
0.000000000000000000e+00,-5.039999999999999858e+01,1.307200000000000095e+01
0.000000000000000000e+00,-4.860000000000000142e+01,1.297300000000000075e+01
0.000000000000000000e+00,-4.679999999999999716e+01,1.287400000000000055e+01
0.000000000000000000e+00,-4.500000000000000000e+01,1.277499999999999858e+01
0.000000000000000000e+00,-4.319999999999999574e+01,1.232450000000000045e+01
0.000000000000000000e+00,-4.139999999999999858e+01,1.175525000000000198e+01
0.000000000000000000e+00,-3.960000000000000142e+01,1.118600000000000350e+01
0.000000000000000000e+00,-3.779999999999999716e+01,1.061674999999999969e+01
0.000000000000000000e+00,-3.600000000000000000e+01,1.004750000000000121e+01
0.000000000000000000e+00,-3.419999999999999574e+01,9.098749999999999005e+00
0.000000000000000000e+00,-3.239999999999999858e+01,8.919999999999999929e+00
0.000000000000000000e+00,-3.060000000000000142e+01,1.017250000000000121e+01
0.000000000000000000e+00,-2.879999999999999716e+01,1.025499999999999901e+01
0.000000000000000000e+00,-2.700000000000000000e+01,9.756249999999999645e+00
0.000000000000000000e+00,-2.520000000000000284e+01,9.865000000000000213e+00
0.000000000000000000e+00,-2.339999999999999147e+01,9.527499999999999858e+00
0.000000000000000000e+00,-2.159999999999999432e+01,9.250000000000000000e+00
0.000000000000000000e+00,-1.979999999999999716e+01,8.830624999999997726e+00
0.000000000000000000e+00,-1.800000000000000000e+01,8.150000000000000355e+00
0.000000000000000000e+00,-1.620000000000000284e+01,8.169999999999998153e+00
0.000000000000000000e+00,-1.439999999999999147e+01,8.955000000000001847e+00
0.000000000000000000e+00,-1.259999999999999432e+01,9.945000000000000284e+00
0.000000000000000000e+00,-1.079999999999999716e+01,1.072500000000000142e+01
0.000000000000000000e+00,-9.000000000000000000e+00,1.072499999999999964e+01
0.000000000000000000e+00,-7.200000000000002842e+00,1.077000000000000135e+01
0.000000000000000000e+00,-5.399999999999991473e+00,1.109937500000000199e+01
0.000000000000000000e+00,-3.599999999999994316e+00,1.128500000000000014e+01
0.000000000000000000e+00,-1.799999999999997158e+00,1.147062500000000007e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.165625000000000000e+01
0.000000000000000000e+00,1.799999999999997158e+00,1.211749999999999616e+01
0.000000000000000000e+00,3.600000000000008527e+00,1.273999999999999666e+01
0.000000000000000000e+00,5.400000000000005684e+00,1.302937499999999993e+01
0.000000000000000000e+00,7.200000000000002842e+00,1.309124999999999872e+01
0.000000000000000000e+00,9.000000000000000000e+00,1.306874999999999787e+01
0.000000000000000000e+00,1.079999999999999716e+01,1.272500000000000142e+01
0.000000000000000000e+00,1.260000000000000853e+01,1.210625000000000462e+01
0.000000000000000000e+00,1.440000000000000568e+01,1.190749999999999709e+01
0.000000000000000000e+00,1.620000000000000284e+01,1.227874999999999872e+01
0.000000000000000000e+00,1.800000000000000000e+01,1.264999999999999858e+01
0.000000000000000000e+00,1.979999999999999716e+01,1.302124999999999844e+01
0.000000000000000000e+00,2.160000000000000853e+01,1.353499999999999659e+01
0.000000000000000000e+00,2.340000000000000568e+01,1.400000000000000000e+01
0.000000000000000000e+00,2.520000000000000284e+01,1.400000000000000000e+01
0.000000000000000000e+00,2.700000000000000000e+01,1.400000000000000000e+01
0.000000000000000000e+00,2.879999999999999716e+01,1.400000000000000178e+01
