,names,lat,long,Map Altitude,Set Altitude
0,T_x,42.3378046793832,71.08663802513,3.28,4.23
1,R_X1,42.3379533678118,71.0867849407827,3.30,4.95
2,R_X2,42.33795217186580,71.08678312241230,3.30,4.95
3,R_X3,42.33795097591980,71.08678130404190,3.30,4.95
4,R_X4,42.33794977997380,71.08677948567150,3.30,4.95
5,R_X5,42.33794858402770,71.08677766730120,3.30,4.95
6,R_X6,42.33794738808170,71.08677584893080,3.30,4.95
7,R_X7,42.337946192135700,71.08677403056040,3.30,4.95
8,R_X8,42.33794499618970,71.08677221219000,3.30,4.95
9,R_X9,42.33794380024370,71.08677039381960,3.30,4.95
10,R_X10,42.33794260429760,71.0867685754492,3.30,4.95
11,R_X11,42.337941408351600,71.0867667570788,3.30,4.95
12,R_X12,42.337940212405600,71.08676493870840,3.30,4.95
13,R_X13,42.337939016459600,71.08676312033800,3.30,4.95
14,R_X14,42.337937820513600,71.08676130196760,3.30,4.95
15,R_X15,42.337936624567600,71.08675948359730,3.30,4.95
16,R_X16,42.337935428621500,71.08675766522690,3.30,4.95
17,R_X17,42.337934232675500,71.08675584685650,3.30,4.95
18,R_X18,42.3379330367295,71.08675402848610,3.30,4.95
19,R_X19,42.33793184078350,71.08675221011570,3.30,4.95
20,R_X20,42.33793064483750,71.0867503917453,3.30,4.95
21,R_X21,42.33792944889150,71.0867485733749,3.30,4.95
22,R_X22,42.33792825294540,71.08674675500450,3.30,4.95
23,R_X23,42.33792705699940,71.08674493663410,3.30,4.95
24,R_X24,42.33792586105340,71.08674311826370,3.30,4.95
25,R_X25,42.33792466510740,71.08674129989340,3.30,4.95
26,R_X26,42.33792346916140,71.08673948152300,3.30,4.95
27,R_X27,42.33792227321530,71.08673766315260,3.30,4.95
28,R_X28,42.33792107726930,71.08673584478220,3.30,4.95
29,R_X29,42.33791988132330,71.08673402641180,3.30,4.95
30,R_X30,42.33791868537730,71.0867322080414,3.30,4.95
31,R_X31,42.33791748943130,71.086730389671,3.30,4.95
32,R_X32,42.33791629348530,71.08672857130060,3.30,4.95
33,R_X33,42.33791509753920,71.08672675293020,3.30,4.95
34,R_X34,42.33791390159320,71.08672493455980,3.30,4.95
35,R_X35,42.3379127056472,71.08672311618950,3.30,4.95
36,R_X36,42.337911509701200,71.08672129781910,3.30,4.95
37,R_X37,42.33791031375520,71.08671947944870,3.30,4.95
38,R_X38,42.33790911780920,71.08671766107830,3.30,4.95
39,R_X39,42.337907921863100,71.08671584270790,3.30,4.95
