,names,lat,long,Map Altitude,Set Altitude
0,T_x,42.3378046793832,71.08663802513,3.28,4.23
1,R_X1,42.3379367408171,71.0868038404998,3.30,4.95
2,R_X2,42.33793554771210,71.08680201429860,3.30,4.95
3,R_X3,42.33793435460720,71.08680018809740,3.30,4.95
4,R_X4,42.33793316150220,71.08679836189610,3.30,4.95
5,R_X5,42.3379319683972,71.08679653569490,3.30,4.95
6,R_X6,42.33793077529220,71.0867947094937,3.30,4.95
7,R_X7,42.33792958218730,71.08679288329250,3.30,4.95
8,R_X8,42.33792838908230,71.08679105709130,3.30,4.95
9,R_X9,42.337927195977300,71.08678923089010,3.30,4.95
10,R_X10,42.33792600287230,71.08678740468880,3.30,4.95
11,R_X11,42.337924809767300,71.0867855784876,3.30,4.95
12,R_X12,42.33792361666240,71.0867837522864,3.30,4.95
13,R_X13,42.337922423557400,71.08678192608520,3.30,4.95
14,R_X14,42.337921230452400,71.08678009988400,3.30,4.95
15,R_X15,42.337920037347400,71.08677827368270,3.30,4.95
16,R_X16,42.337918844242500,71.08677644748150,3.30,4.95
17,R_X17,42.337917651137500,71.0867746212803,3.30,4.95
18,R_X18,42.33791645803250,71.08677279507910,3.30,4.95
19,R_X19,42.337915264927500,71.08677096887790,3.30,4.95
20,R_X20,42.33791407182260,71.08676914267660,3.30,4.95
21,R_X21,42.33791287871760,71.08676731647540,3.30,4.95
22,R_X22,42.33791168561260,71.0867654902742,3.30,4.95
23,R_X23,42.33791049250760,71.08676366407300,3.30,4.95
24,R_X24,42.33790929940270,71.08676183787180,3.30,4.95
25,R_X25,42.33790810629770,71.08676001167060,3.30,4.95
26,R_X26,42.33790691319270,71.08675818546930,3.30,4.95
27,R_X27,42.33790572008770,71.08675635926810,3.30,4.95
28,R_X28,42.33790452698280,71.0867545330669,3.30,4.95
29,R_X29,42.33790333387780,71.08675270686570,3.30,4.95
30,R_X30,42.33790214077280,71.08675088066450,3.30,4.95
31,R_X31,42.33790094766780,71.08674905446320,3.30,4.95
32,R_X32,42.33789975456290,71.08674722826200,3.30,4.95
33,R_X33,42.33789856145790,71.0867454020608,3.30,4.95
34,R_X34,42.33789736835290,71.08674357585960,3.30,4.95
35,R_X35,42.337896175247900,71.08674174965840,3.30,4.95
36,R_X36,42.33789498214300,71.08673992345720,3.30,4.95
37,R_X37,42.337893789038000,71.08673809725590,3.30,4.95
38,R_X38,42.33789259593300,71.0867362710547,3.30,4.95
39,R_X39,42.337891402828000,71.08673444485350,3.30,4.95
40,R_X40,42.33789020972310,71.08673261865230,3.30,4.95
41,R_X41,42.337889016618100,71.08673079245110,3.30,4.95
42,R_X42,42.33788782351310,71.08672896624980,3.30,4.95
43,R_X43,42.337886630408100,71.08672714004860,3.30,4.95
44,R_X44,42.33788543730320,71.0867253138474,3.30,4.95
45,R_X45,42.337884244198200,71.08672348764620,3.30,4.95
46,R_X46,42.33788305109320,71.08672166144500,3.30,4.95
47,R_X47,42.33788185798820,71.08671983524370,3.30,4.95
48,R_X48,42.33788066488330,71.08671800904250,3.30,4.95
49,R_X49,42.33787947177830,71.0867161828413,3.30,4.95
50,R_X50,42.33787827867330,71.08671435664010,3.30,4.95
51,R_X51,42.33787708556830,71.08671253043890,3.30,4.95
52,R_X52,42.33787589246340,71.08671070423770,3.30,4.95
53,R_X53,42.33787469935840,71.08670887803640,3.30,4.95
54,R_X54,42.3378735062534,71.08670705183520,3.30,4.95
55,R_X55,42.33787231314840,71.08670522563400,3.30,4.95
56,R_X56,42.33787112004350,71.08670339943280,3.30,4.95
57,R_X57,42.33786992693850,71.08670157323160,3.30,4.95
58,R_X58,42.3378687338335,71.08669974703030,3.30,4.95
59,R_X59,42.337867540728500,71.08669792082910,3.30,4.95
60,R_X60,42.33786634762360,71.0866960946279,3.29,4.935
61,R_X61,42.337865154518600,71.08669426842670,3.29,4.935
62,R_X62,42.3378639614136,71.08669244222550,3.29,4.935
63,R_X63,42.337862768308600,71.08669061602420,3.28,4.925
64,R_X64,42.337861575203700,71.08668878982300,3.28,4.925
65,R_X65,42.337860382098700,71.08668696362180,3.27,4.915
66,R_X66,42.3378591889937,71.08668513742060,3.27,4.915
67,R_X67,42.337857995888700,71.08668331121940,3.27,4.915
68,R_X68,42.33785680278380,71.08668148501820,3.26,4.905
69,R_X69,42.337855609678800,71.08667965881690,3.26,4.905
70,R_X70,42.3378544165738,71.08667783261570,3.25,4.895
71,R_X71,42.33785322346880,71.08667600641450,3.25,4.895
72,R_X72,42.33785203036390,71.08667418021330,3.25,4.895
73,R_X73,42.33785083725890,71.08667235401210,3.25,4.895
74,R_X74,42.3378496441539,71.08667052781080,3.25,4.895
75,R_X75,42.33784845104890,71.08666870160960,3.25,4.895
76,R_X76,42.33784725794400,71.0866668754084,3.24,4.885
77,R_X77,42.33784606483900,71.08666504920720,3.24,4.885
78,R_X78,42.337844871734,71.08666322300600,3.24,4.885
79,R_X79,42.33784367862900,71.08666139680470,3.23,4.875
80,R_X80,42.33784248552400,71.08665957060350,3.23,4.875
81,R_X81,42.33784129241910,71.08665774440230,3.23,4.875
82,R_X82,42.33784009931410,71.08665591820110,3.23,4.875
83,R_X83,42.33783890620910,71.08665409199990,3.23,4.875
84,R_X84,42.33783771310410,71.08665226579870,3.23,4.875
85,R_X85,42.337836519999200,71.08665043959740,3.23,4.875
86,R_X86,42.337835326894200,71.08664861339620,3.23,4.875
87,R_X87,42.337834133789200,71.086646787195,3.23,4.875
88,R_X88,42.337832940684200,71.08664496099380,3.23,4.875
89,R_X89,42.337831747579300,71.08664313479260,3.23,4.875
90,R_X90,42.337830554474300,71.08664130859130,3.23,4.875
91,R_X91,42.337829361369300,71.08663948239010,3.23,4.875
92,R_X92,42.33782816826430,71.08663765618890,3.23,4.875
93,R_X93,42.337826975159400,71.08663582998770,3.23,4.875
94,R_X94,42.33782578205440,71.08663400378650,3.23,4.875
95,R_X95,42.33782458894940,71.08663217758530,3.23,4.875
96,R_X96,42.33782339584440,71.08663035138400,3.23,4.875
97,R_X97,42.33782220273950,71.08662852518280,3.23,4.875
98,R_X98,42.33782100963450,71.08662669898160,3.23,4.875
99,R_X99,42.33781981652950,71.08662487278040,3.23,4.875
100,R_X100,42.33781862342450,71.08662304657920,3.23,4.875
101,R_X101,42.33781743031960,71.08662122037790,3.23,4.875
102,R_X102,42.33781623721460,71.08661939417670,3.23,4.875
103,R_X103,42.33781504410960,71.08661756797550,3.22,4.865
104,R_X104,42.33781385100460,71.08661574177430,3.22,4.865
105,R_X105,42.33781265789970,71.08661391557310,3.22,4.865
106,R_X106,42.33781146479470,71.08661208937180,3.22,4.865
107,R_X107,42.33781027168970,71.08661026317060,3.21,4.855
108,R_X108,42.33780907858470,71.08660843696940,3.21,4.855
109,R_X109,42.33780788547980,71.08660661076820,3.20,4.85
110,R_X110,42.337806692374800,71.08660478456700,3.19,4.835
111,R_X111,42.337805499269800,71.08660295836580,3.19,4.835
112,R_X112,42.337804306164800,71.08660113216450,3.19,4.835
113,R_X113,42.337803113059900,71.08659930596330,3.18,4.825
114,R_X114,42.337801919954900,71.0865974797621,3.17,4.815
115,R_X115,42.337800726849900,71.08659565356090,3.17,4.815
116,R_X116,42.337799533744900,71.08659382735970,3.16,4.805
117,R_X117,42.33779834064000,71.08659200115840,3.15,4.795
118,R_X118,42.33779714753500,71.08659017495720,3.14,4.785
119,R_X119,42.33779595443000,71.08658834875600,3.13,4.775
120,R_X120,42.33779476132500,71.08658652255480,3.13,4.775
121,R_X121,42.33779356822010,71.08658469635360,3.12,4.765
122,R_X122,42.33779237511510,71.08658287015240,3.12,4.765
123,R_X123,42.3377911820101,71.08658104395110,3.11,4.755
124,R_X124,42.33778998890510,71.08657921774990,3.11,4.755
125,R_X125,42.33778879580020,71.0865773915487,3.1,4.745
126,R_X126,42.33778760269520,71.08657556534750,3.1,4.745
127,R_X127,42.3377864095902,71.08657373914630,3.09,4.735
128,R_X128,42.33778521648520,71.08657191294500,3.09,4.735
129,R_X129,42.33778402338030,71.08657008674380,3.08,4.725
130,R_X130,42.33778283027530,71.0865682605426,3.08,4.725
131,R_X131,42.3377816371703,71.08656643434140,3.07,4.715
132,R_X132,42.337780444065300,71.08656460814020,3.07,4.715
133,R_X133,42.33777925096040,71.08656278193900,3.06,4.705
134,R_X134,42.337778057855400,71.08656095573770,3.06,4.705
135,R_X135,42.3377768647504,71.08655912953650,3.05,4.695
136,R_X136,42.337775671645400,71.08655730333530,3.05,4.695
137,R_X137,42.337774478540400,71.08655547713410,3.04,4.685
138,R_X138,42.337773285435500,71.08655365093290,3.03,4.675
139,R_X139,42.337772092330500,71.08655182473160,3.03,4.675
140,R_X140,42.337770899225500,71.08654999853040,3.02,4.665
141,R_X141,42.33776970612060,71.0865481723292,3.02,4.665
142,R_X142,42.337768513015600,71.08654634612800,3.01,4.655
143,R_X143,42.3377673199106,71.08654451992680,3.01,4.655
144,R_X144,42.33776612680560,71.08654269372560,3.00,4.65
145,R_X145,42.33776493370070,71.08654086752430,3.00,4.65
146,R_X146,42.33776374059570,71.0865390413231,2.99,4.635
147,R_X147,42.3377625474907,71.08653721512190,2.99,4.635
148,R_X148,42.33776135438570,71.08653538892070,2.98,4.625
149,R_X149,42.33776016128070,71.08653356271950,2.98,4.625
150,R_X150,42.33775896817580,71.08653173651820,2.97,4.615
151,R_X151,42.33775777507080,71.08652991031700,2.97,4.615
152,R_X152,42.33775658196580,71.0865280841158,2.96,4.605
153,R_X153,42.33775538886080,71.08652625791460,2.96,4.605
154,R_X154,42.33775419575590,71.08652443171340,2.95,4.595
155,R_X155,42.33775300265090,71.08652260551210,2.95,4.595
156,R_X156,42.337751809545900,71.08652077931090,2.94,4.585
157,R_X157,42.33775061644090,71.0865189531097,2.94,4.585
158,R_X158,42.337749423336000,71.08651712690850,2.93,4.575
