Category,speed,direction,lane,episode,time header,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,x,y
Cat1,10mph,lr,opposite,8,1624825172.8027704,1624825172.8033075,3931,1624825172,802770281,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825173.8138626,1624825173.814348,3932,1624825173,813862546,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825174.823058,1624825174.8269753,3933,1624825174,823057983,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825175.8331006,1624825175.833981,3934,1624825175,833100468,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825176.8426957,1624825176.8432963,3935,1624825176,842695757,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825177.8533425,1624825177.85445,3936,1624825177,853342646,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825178.8642898,1624825178.8734548,3937,1624825178,864289793,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825179.8729818,1624825179.8831391,3938,1624825179,872981821,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825180.8827634,1624825180.8933742,3939,1624825180,882763488,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825181.8929632,1624825182.7545338,3940,1624825181,892963211,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825182.9133673,1624825183.7351642,3941,1624825182,913367205,,0,1,42.338064,-71.086944,6.0,8.943878285139268,-7.184633916147555
Cat1,10mph,lr,opposite,8,1624825183.9228342,1624825184.7230158,3942,1624825183,922834250,,0,1,42.33805866666667,-71.08693866666667,6.0,9.381913314868997,-7.777226508822979
Cat1,10mph,lr,opposite,8,1624825184.9325025,1624825185.7542937,3943,1624825184,932502618,,0,1,42.33804533333333,-71.086928,6.0,10.257983703285305,-9.258707990511539
Cat1,10mph,lr,opposite,8,1624825185.9429228,1624825186.738827,3944,1624825185,942922911,,0,1,42.33801866666666,-71.08690666666666,6.0,12.01012503738504,-12.221670953888658
Cat1,10mph,lr,opposite,8,1624825186.9542222,1624825187.723224,3945,1624825186,954222218,,0,1,42.33798133333333,-71.08687466666667,6.0,14.638338120153627,-16.369819101827133
Cat1,10mph,lr,opposite,8,1624825187.962828,1624825188.7624638,3946,1624825187,962827925,,0,1,42.33794133333333,-71.08683733333334,6.0,17.704588189656146,-20.814263546103323
Cat1,10mph,lr,opposite,8,1624825188.9724886,1624825189.7432547,3947,1624825188,972488687,,0,1,42.33789866666667,-71.08679466666666,6.0,21.208875857717747,-25.55500428671722
Cat1,10mph,lr,opposite,8,1624825189.9825282,1624825190.7229187,3948,1624825189,982528323,,0,1,42.337861333333336,-71.08675733333334,6.0,24.27512951653589,-29.7031524346557
Cat1,10mph,lr,opposite,8,1624825190.992703,1624825191.7626057,3949,1624825190,992702852,,0,1,42.337834666666666,-71.08673066666667,6.0,26.465311816771333,-32.666115398032815
Cat1,10mph,lr,opposite,8,1624825192.0140233,1624825192.7430246,3950,1624825192,14023360,,0,1,42.33782133333333,-71.08671466666667,6.0,27.779421053711268,-34.14759687972138
Cat1,10mph,lr,opposite,8,1624825193.0197518,1624825193.722796,3951,1624825193,19751816,,0,1,42.337818666666664,-71.08671466666667,6.0,27.779421642725097,-34.44389317605909
Cat1,10mph,lr,opposite,8,1624825194.0222003,1624825194.7543924,3952,1624825194,22200308,,0,1,42.337818666666664,-71.08671466666667,6.0,27.779421642725097,-34.44389317605909
Cat1,10mph,lr,opposite,8,1624825195.0422118,1624825195.7427874,3953,1624825195,42211797,,0,1,42.337818666666664,-71.08671466666667,6.0,27.779421642725097,-34.44389317605909
Cat1,10mph,lr,opposite,8,1624825196.0610793,1624825196.7228446,3954,1624825196,61079381,,0,1,42.337818666666664,-71.08671466666667,6.0,27.779421642725097,-34.44389317605909
