Category,speed,direction,lane,episode,Time header,Image_path
Cat3,15mph,lr,opposite,0,1625003431.746473,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.746473.jpg
Cat3,15mph,lr,opposite,0,1625003431.7798064,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.7798064.jpg
Cat3,15mph,lr,opposite,0,1625003431.8131397,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.8131397.jpg
Cat3,15mph,lr,opposite,0,1625003431.846473,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.846473.jpg
Cat3,15mph,lr,opposite,0,1625003431.8798063,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.8798063.jpg
Cat3,15mph,lr,opposite,0,1625003431.9131396,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.9131396.jpg
Cat3,15mph,lr,opposite,0,1625003431.946473,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.946473.jpg
Cat3,15mph,lr,opposite,0,1625003431.9798062,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003431.9798062.jpg
Cat3,15mph,lr,opposite,0,1625003432.0131395,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.0131395.jpg
Cat3,15mph,lr,opposite,0,1625003432.0464728,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.0464728.jpg
Cat3,15mph,lr,opposite,0,1625003432.079806,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.079806.jpg
Cat3,15mph,lr,opposite,0,1625003432.1131394,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.1131394.jpg
Cat3,15mph,lr,opposite,0,1625003432.1464727,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.1464727.jpg
Cat3,15mph,lr,opposite,0,1625003432.179806,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.179806.jpg
Cat3,15mph,lr,opposite,0,1625003432.2131393,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.2131393.jpg
Cat3,15mph,lr,opposite,0,1625003432.279806,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.279806.jpg
Cat3,15mph,lr,opposite,0,1625003432.3131392,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.3131392.jpg
Cat3,15mph,lr,opposite,0,1625003432.3464725,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.3464725.jpg
Cat3,15mph,lr,opposite,0,1625003432.3798058,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.3798058.jpg
Cat3,15mph,lr,opposite,0,1625003432.413139,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.413139.jpg
Cat3,15mph,lr,opposite,0,1625003432.4464724,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.4464724.jpg
Cat3,15mph,lr,opposite,0,1625003432.4798057,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.4798057.jpg
Cat3,15mph,lr,opposite,0,1625003432.513139,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.513139.jpg
Cat3,15mph,lr,opposite,0,1625003432.5464723,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.5464723.jpg
Cat3,15mph,lr,opposite,0,1625003432.5798056,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.5798056.jpg
Cat3,15mph,lr,opposite,0,1625003432.613139,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.613139.jpg
Cat3,15mph,lr,opposite,0,1625003432.6464722,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.6464722.jpg
Cat3,15mph,lr,opposite,0,1625003432.6798055,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.6798055.jpg
Cat3,15mph,lr,opposite,0,1625003432.7131388,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.7131388.jpg
Cat3,15mph,lr,opposite,0,1625003432.7464721,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.7464721.jpg
Cat3,15mph,lr,opposite,0,1625003432.8131387,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.8131387.jpg
Cat3,15mph,lr,opposite,0,1625003432.846472,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.846472.jpg
Cat3,15mph,lr,opposite,0,1625003432.8798053,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.8798053.jpg
Cat3,15mph,lr,opposite,0,1625003432.9131386,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.9131386.jpg
Cat3,15mph,lr,opposite,0,1625003432.946472,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.946472.jpg
Cat3,15mph,lr,opposite,0,1625003432.9798052,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003432.9798052.jpg
Cat3,15mph,lr,opposite,0,1625003433.0131385,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.0131385.jpg
Cat3,15mph,lr,opposite,0,1625003433.0464718,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.0464718.jpg
Cat3,15mph,lr,opposite,0,1625003433.0798051,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.0798051.jpg
Cat3,15mph,lr,opposite,0,1625003433.1131384,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.1131384.jpg
Cat3,15mph,lr,opposite,0,1625003433.1464717,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.1464717.jpg
Cat3,15mph,lr,opposite,0,1625003433.179805,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.179805.jpg
Cat3,15mph,lr,opposite,0,1625003433.2131383,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.2131383.jpg
Cat3,15mph,lr,opposite,0,1625003433.2464716,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.2464716.jpg
Cat3,15mph,lr,opposite,0,1625003433.279805,/media/batool/MULTIMODAL_DATA/Multimodal_Data/Cat3/static_in_front/bag_files/Cat3_15mph_lr_opposite_0/camera_images/1625003433.279805.jpg
